expected,predicted,label,true_positive,false_positive,false_negative,precision,recall,F_1,total_files_compared
0,3,Occupation,1988,613,724,0.764321415,0.733038348,0.748353096,485
0,4,Occupation,738,396,240,0.650793651,0.754601227,0.698863636,149
3,4,Occupation,422,327,134,0.563417891,0.758992806,0.646743295,57
0,3,Omission,1376,914,3259,0.600873362,0.296871629,0.397400722,485
0,4,Omission,416,317,875,0.567530696,0.322230829,0.411067194,149
3,4,Omission,215,315,155,0.405660377,0.581081081,0.477777778,57
0,3,Stereotype,505,539,227,0.483716475,0.68989071,0.568693694,485
0,4,Stereotype,507,525,600,0.49127907,0.45799458,0.474053296,149
3,4,Stereotype,34,60,161,0.361702128,0.174358974,0.235294118,57
0,3,Empowering,0,80,0,-,-,-,485
0,4,Empowering,0,0,0,-,-,-,149
3,4,Empowering,0,0,8,-,-,-,57
