,expected,predicted,label,true_positive,false_positive,false_negative,precision,recall,F_1,total_files_compared
0,Annotator 0,Annotator 1,Unknown,5031.0,1524.0,4268.0,0.7675057208237986,0.5410259167652436,0.6346663302636558,584
1,Annotator 0,Annotator 2,Unknown,2776.0,537.0,432.0,0.8379112586779354,0.8653366583541147,0.8514031590246894,170
2,Annotator 1,Annotator 2,Unknown,1048.0,1421.0,315.0,0.4244633454840016,0.768892149669846,0.5469728601252609,72
3,Annotator 0,Annotator 1,Masculine,2367.0,2372.0,1079.0,0.4994724625448407,0.6868833430063842,0.5783750763591937,584
4,Annotator 0,Annotator 2,Masculine,728.0,111.0,146.0,0.867699642431466,0.8329519450800915,0.8499708114419148,170
5,Annotator 1,Annotator 2,Masculine,380.0,169.0,411.0,0.6921675774134789,0.4804045512010114,0.5671641791044777,72
6,Annotator 0,Annotator 1,Feminine,627.0,427.0,642.0,0.594876660341556,0.4940898345153664,0.5398191993112355,584
7,Annotator 0,Annotator 2,Feminine,724.0,128.0,178.0,0.8497652582159625,0.8026607538802659,0.8255416191562143,170
8,Annotator 1,Annotator 2,Feminine,287.0,496.0,279.0,0.3665389527458493,0.5070671378091873,0.4255003706449221,72
9,Annotator 0,Annotator 1,Nonbinary,0.0,0.0,1.0,1.0,0.0,0.0,584
10,Annotator 0,Annotator 2,Nonbinary,0.0,0.0,0.0,1.0,1.0,1.0,170
11,Annotator 1,Annotator 2,Nonbinary,0.0,0.0,0.0,1.0,1.0,1.0,72
12,Annotator 0,Annotator 1,Gendered-Role,1802.0,306.0,882.0,0.8548387096774194,0.6713859910581222,0.7520868113522539,584
13,Annotator 0,Annotator 2,Gendered-Role,1404.0,162.0,257.0,0.8965517241379308,0.8452739313666466,0.8701580415246359,170
14,Annotator 1,Annotator 2,Gendered-Role,438.0,292.0,52.0,0.6,0.8938775510204081,0.7180327868852461,72
15,Annotator 0,Annotator 1,Gendered-Pronoun,3398.0,101.0,190.0,0.9711346098885396,0.9470457079152732,0.958938902215324,584
16,Annotator 0,Annotator 2,Gendered-Pronoun,869.0,70.0,60.0,0.9254526091586794,0.9354144241119484,0.930406852248394,170
17,Annotator 1,Annotator 2,Gendered-Pronoun,518.0,7.0,11.0,0.9866666666666668,0.9792060491493384,0.98292220113852,72
18,Annotator 0,Annotator 1,Generalization,37.0,35.0,262.0,0.5138888888888888,0.12374581939799333,0.1994609164420485,584
19,Annotator 0,Annotator 2,Generalization,74.0,51.0,63.0,0.5920000000000001,0.5401459854014599,0.564885496183206,170
20,Annotator 1,Annotator 2,Generalization,2.0,50.0,7.0,0.038461538461538464,0.2222222222222222,0.0655737704918033,72
