,expected,predicted,label,true_positive,false_positive,false_negative,precision,recall,F_1,total_files_compared
0,Aggregated,Annotator 0,Unknown,10561.0,36.0,1900.0,0.9966028121166368,0.8475242757403098,0.916037817677162,714
1,Aggregated,Annotator 1,Unknown,6608.0,0.0,4511.0,1.0,0.5942980483856461,0.7455294184013087,597
2,Aggregated,Annotator 2,Unknown,15140.0,117.0,679.0,0.9923313888706824,0.9570769328023264,0.9743853777834984,444
3,Aggregated,Annotator 0,Masculine,3963.0,18.0,2446.0,0.9954785229841748,0.6183491964425027,0.7628488931665064,714
4,Aggregated,Annotator 1,Masculine,4749.0,1.0,1099.0,0.9997894736842106,0.8120725034199726,0.8962068314776372,597
5,Aggregated,Annotator 2,Masculine,1007.0,5.0,525.0,0.9950592885375494,0.6573107049608355,0.7916666666666666,444
6,Aggregated,Annotator 0,Feminine,1454.0,19.0,523.0,0.987101154107264,0.7354577642893273,0.8428985507246377,714
7,Aggregated,Annotator 1,Feminine,1076.0,0.0,707.0,1.0,0.6034772854739203,0.7527107380202868,597
8,Aggregated,Annotator 2,Feminine,994.0,12.0,410.0,0.9880715705765408,0.7079772079772081,0.8248962655601659,444
9,Aggregated,Annotator 0,Nonbinary,1.0,0.0,0.0,1.0,1.0,1.0,714
10,Aggregated,Annotator 1,Nonbinary,0.0,0.0,1.0,1.0,0.0,0.0,597
11,Aggregated,Annotator 2,Nonbinary,0.0,0.0,0.0,1.0,1.0,1.0,444
12,Aggregated,Annotator 0,Gendered-Role,3108.0,697.0,330.0,0.8168199737187911,0.9040139616055848,0.8582079248930001,714
13,Aggregated,Annotator 1,Gendered-Role,1924.0,218.0,716.0,0.8982259570494865,0.7287878787878788,0.8046842325386867,597
14,Aggregated,Annotator 2,Gendered-Role,1471.0,652.0,230.0,0.6928874234573716,0.8647854203409759,0.7693514644351465,444
15,Aggregated,Annotator 0,Gendered-Pronoun,3933.0,160.0,165.0,0.960908868800391,0.9597364568081992,0.9603223049688684,714
16,Aggregated,Annotator 1,Gendered-Pronoun,3498.0,3.0,190.0,0.9991431019708654,0.9484815618221258,0.9731534288496314,597
17,Aggregated,Annotator 2,Gendered-Pronoun,1016.0,1.0,41.0,0.9990167158308751,0.9612109744560076,0.9797492767598842,444
18,Aggregated,Annotator 0,Generalization,405.0,1.0,1370.0,0.9975369458128078,0.22816901408450704,0.3713892709766162,714
19,Aggregated,Annotator 1,Generalization,69.0,4.0,1123.0,0.9452054794520548,0.05788590604026845,0.10909090909090907,597
20,Aggregated,Annotator 2,Generalization,127.0,0.0,862.0,1.0,0.12841253791708795,0.2275985663082437,444
